channel,coach,video_id,title,duration_min,views,in_catalog,transcribed,tagged,used_in_kb,difficulty,tags,champion_focus,summary,url
JungleGapGG,JungleGapGG,OVE0qFs7PS0,3 Must Know Jungle Principles That Make Climbing Easy (Here's How),35,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=OVE0qFs7PS0
JungleGapGG,JungleGapGG,QQku-iYEQ6k,Educational HIGH ELO Jungling Explained - Complete Thought Process,20,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=QQku-iYEQ6k
JungleGapGG,JungleGapGG,gUVtr--F2hM,Free Coaching From A Challenger Jungler | Most Common Mistakes Below Diamond,29,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=gUVtr--F2hM
JungleGapGG,JungleGapGG,CXv1fuU7tc8,How To Absolutely MOG The Enemy Jungler (with map hacks) - Educational Guide,31,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=CXv1fuU7tc8
JungleGapGG,JungleGapGG,a6UyD-hZZgY,How To Climb As Jungle With GODLIKE Decision Making  - Educational Guide,34,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=a6UyD-hZZgY
JungleGapGG,JungleGapGG,btOjeZ5Acsk,How To GAP Enemy Junglers With Fundamentals - Educational Gameplay Guide,30,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=btOjeZ5Acsk
JungleGapGG,JungleGapGG,Nzd24hYQDRo,How To GAP Low Elo Junglers With ONE Fundamental | Educational Guide,17,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=Nzd24hYQDRo
JungleGapGG,JungleGapGG,f610UsYj5r4,Jungle Fundamentals Like You've NEVER Seen Before (Carry Losing Games),36,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=f610UsYj5r4
JungleGapGG,JungleGapGG,G_fUH6xp2As,Jungle Fundamentals That Make DOOMED Games Winnable (In-Depth Guide),23,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=G_fUH6xp2As
JungleGapGG,JungleGapGG,H-HS7uHNoXE,The #1 Rule To Improving At Jungle | Educational Gameplay Guide,28,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=H-HS7uHNoXE
JungleGapGG,JungleGapGG,dJvCEuOb9cU,The Most VALUABLE Jungle Coaching To Hit DIAMOND (In-Depth Fundamentals),41,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=dJvCEuOb9cU
JungleGapGG,JungleGapGG,0Avxo9bDMHM,The Two Pillars That Make You CRAZY Good At Jungle - Educational Guide To Climb,24,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=0Avxo9bDMHM
